campaign_id,customer_id,campaign_name,channel,device_type,send_date,opened,clicked,converted,revenue
CMP383 ,CUSAT1722,Summer Sale,Email,Tablet,11/20/2024,Yes,No,No,$0.00 
CMP674 ,CUSAT1158,Summer Sale,Email,Tablet,10/9/2024,Yes,Yes,Yes,$929.00 
CMP540 ,CUSAT3088,Summer Sale,Email,Desktop,10/25/2024,Yes,No,No,$0.00 
CMP898 ,CUSAT7658,New Product Launch,Email,Mobile,12/7/2024,No,No,No,$0.00 
CMP440 ,CUSAT7745,New Product Launch,Email,Desktop,4/1/2024,Yes,No,No,$0.00 
CMP936 ,CUSAT8541,Holiday Promo,Email,Tablet,8/28/2024,No,No,No,$0.00 
CMP985 ,CUSAT2137,Holiday Promo,Email,Tablet,7/23/2024,Yes,Yes,Yes,$678.80 
CMP367 ,CUSAT3925,New Product Launch,Email,Mobile,1/15/2024,No,No,No,$0.00 
CMP623 ,CUSAT2894,Black Friday,Email,Desktop,6/9/2024,No,No,No,$0.00 
CMP859 ,CUSAT4228,Holiday Promo,Email,Mobile,10/2/2024,Yes,Yes,Yes,$553.80 
CMP782 ,CUSAT7691,Holiday Promo,Email,Tablet,6/2/2024,No,No,No,$0.00 
CMP488 ,CUSAT3851,New Product Launch,Email,Desktop,8/3/2024,Yes,Yes,Yes,$8.60 
CMP693 ,CUSAT6279,Black Friday,Email,Desktop,4/17/2024,No,No,No,$0.00 
CMP627 ,CUSAT6491,Summer Sale,Email,Tablet,12/3/2024,No,No,No,$0.00 
CMP586 ,CUSAT2193,Black Friday,Email,Tablet,1/13/2024,No,No,No,$0.00 
CMP804 ,CUSAT1090,Summer Sale,Email,Mobile,5/4/2024,No,No,No,$0.00 
CMP968 ,CUSAT2988,Black Friday,Email,Tablet,10/12/2024,No,No,No,$0.00 
CMP553 ,CUSAT9270,Black Friday,Email,Mobile,6/11/2024,No,No,No,$0.00 
CMP896 ,CUSAT9540,Black Friday,Email,Desktop,11/22/2024,Yes,Yes,No,$0.00 
CMP653 ,CUSAT2320,Summer Sale,Email,Mobile,5/19/2024,No,No,No,$0.00 
CMP655 ,CUSAT8633,Black Friday,Email,Mobile,7/31/2024,No,No,No,$0.00 
CMP106 ,CUSAT6763,Holiday Promo,Email,Tablet,10/21/2024,Yes,Yes,No,$0.00 
CMP379 ,CUSAT8140,Black Friday,Email,Desktop,4/22/2024,No,No,No,$0.00 
CMP646 ,CUSAT1441,Black Friday,Email,Mobile,3/6/2024,No,No,No,$0.00 
CMP435 ,CUSAT4467,Black Friday,Email,Desktop,1/26/2024,Yes,No,No,$0.00 
CMP867 ,CUSAT9837,Summer Sale,Email,Mobile,2/11/2024,Yes,Yes,No,$0.00 
CMP736 ,CUSAT3496,Holiday Promo,Email,Desktop,4/12/2024,No,No,No,$0.00 
CMP477 ,CUSAT3749,New Product Launch,Email,Tablet,12/24/2024,Yes,Yes,Yes,$408.40 
CMP689 ,CUSAT7149,Black Friday,Email,Mobile,1/14/2024,Yes,Yes,Yes,$525.80 
CMP679 ,CUSAT1672,Holiday Promo,Email,Tablet,3/2/2024,Yes,Yes,Yes,$157.50 
CMP942 ,CUSAT9031,Summer Sale,Email,Desktop,1/7/2024,No,No,No,$0.00 
CMP376 ,CUSAT9817,Black Friday,Email,Desktop,9/24/2024,Yes,No,No,$0.00 
CMP349 ,CUSAT8613,New Product Launch,Email,Desktop,5/22/2024,No,No,No,$0.00 
CMP916 ,CUSAT5232,Holiday Promo,Email,Mobile,9/6/2024,Yes,Yes,Yes,$571.20 
CMP837 ,CUSAT7658,Black Friday,Email,Tablet,4/7/2024,No,No,No,$0.00 
CMP514 ,CUSAT4986,Holiday Promo,Email,Desktop,2/17/2024,Yes,Yes,No,$0.00 
CMP819 ,CUSAT8434,Holiday Promo,Email,Desktop,10/8/2024,Yes,No,No,$0.00 
CMP880 ,CUSAT4033,Holiday Promo,Email,Tablet,3/2/2024,Yes,Yes,Yes,$744.60 
CMP202 ,CUSAT4180,Holiday Promo,Email,Desktop,11/1/2024,Yes,Yes,Yes,"$1,215.20 "
CMP155 ,CUSAT5786,New Product Launch,Email,Tablet,3/5/2024,Yes,Yes,Yes,$585.70 
CMP551 ,CUSAT6582,Summer Sale,Email,Desktop,5/25/2024,Yes,Yes,No,$0.00 
CMP744 ,CUSAT1878,Summer Sale,Email,Tablet,9/8/2024,Yes,Yes,No,$0.00 
CMP720 ,CUSAT4697,Black Friday,Email,Desktop,10/12/2024,Yes,Yes,No,$0.00 
CMP161 ,CUSAT2625,Holiday Promo,Email,Desktop,6/5/2024,No,No,No,$0.00 
CMP102 ,CUSAT7693,Black Friday,Email,Desktop,10/9/2024,Yes,Yes,Yes,$480.40 
CMP172 ,CUSAT4824,Holiday Promo,Email,Desktop,12/25/2024,No,No,No,$0.00 
CMP173 ,CUSAT1977,Summer Sale,Email,Mobile,5/16/2024,No,No,No,$0.00 
CMP512 ,CUSAT5460,Black Friday,Email,Desktop,12/18/2024,Yes,Yes,No,$0.00 
CMP126 ,CUSAT2496,Holiday Promo,Email,Tablet,6/14/2024,Yes,Yes,No,$0.00 
CMP552 ,CUSAT5557,Summer Sale,Email,Tablet,8/28/2024,Yes,Yes,Yes,"$1,191.20 "
CMP786 ,CUSAT2713,Summer Sale,Email,Desktop,7/28/2024,Yes,No,No,$0.00 
CMP422 ,CUSAT5135,Holiday Promo,Email,Tablet,1/19/2024,Yes,Yes,Yes,$276.60 
CMP292 ,CUSAT9494,Holiday Promo,Email,Tablet,8/24/2024,Yes,No,No,$0.00 
CMP394 ,CUSAT8178,New Product Launch,Email,Mobile,10/8/2024,Yes,No,No,$0.00 
CMP665 ,CUSAT7684,Summer Sale,Email,Tablet,6/8/2024,No,No,No,$0.00 
CMP398 ,CUSAT9337,New Product Launch,Email,Desktop,9/12/2024,No,No,No,$0.00 
CMP295 ,CUSAT9327,New Product Launch,Email,Tablet,10/9/2024,Yes,No,No,$0.00 
CMP102 ,CUSAT5634,New Product Launch,Email,Tablet,9/16/2024,No,No,No,$0.00 
CMP665 ,CUSAT9903,Black Friday,Email,Desktop,9/4/2024,No,No,No,$0.00 
CMP520 ,CUSAT1715,Holiday Promo,Email,Tablet,4/29/2024,No,No,No,$0.00 
CMP704 ,CUSAT6439,Summer Sale,Email,Mobile,1/19/2024,No,No,No,$0.00 
CMP258 ,CUSAT2225,Black Friday,Email,Desktop,7/28/2024,Yes,Yes,Yes,$443.20 
CMP741 ,CUSAT8994,Black Friday,Email,Mobile,7/13/2024,No,No,No,$0.00 
CMP200 ,CUSAT2646,Black Friday,Email,Tablet,2/16/2024,Yes,Yes,Yes,$718.50 
CMP483 ,CUSAT8056,Summer Sale,Email,Mobile,1/29/2024,No,No,No,$0.00 
CMP991 ,CUSAT7267,New Product Launch,Email,Desktop,3/30/2024,No,No,No,$0.00 
CMP109 ,CUSAT8622,Holiday Promo,Email,Mobile,8/23/2024,Yes,Yes,Yes,$506.20 
CMP806 ,CUSAT5097,Black Friday,Email,Mobile,11/23/2024,No,No,No,$0.00 
CMP688 ,CUSAT5847,New Product Launch,Email,Mobile,7/14/2024,Yes,Yes,Yes,$431.80 
CMP150 ,CUSAT9138,Holiday Promo,Email,Mobile,12/17/2024,No,No,No,$0.00 
CMP838 ,CUSAT3240,New Product Launch,Email,Tablet,5/8/2024,Yes,No,No,$0.00 
CMP234 ,CUSAT2476,Holiday Promo,Email,Tablet,10/23/2024,No,No,No,$0.00 
CMP474 ,CUSAT9697,Black Friday,Email,Tablet,10/3/2024,Yes,No,No,$0.00 
CMP579 ,CUSAT2233,Summer Sale,Email,Tablet,6/22/2024,Yes,Yes,Yes,"$1,354.50 "
CMP649 ,CUSAT3024,Black Friday,Email,Tablet,7/21/2024,No,No,No,$0.00 
CMP582 ,CUSAT1410,New Product Launch,Email,Mobile,2/25/2024,Yes,No,No,$0.00 
CMP243 ,CUSAT1742,Summer Sale,Email,Desktop,11/28/2024,Yes,No,No,$0.00 
CMP479 ,CUSAT9850,Black Friday,Email,Desktop,3/10/2024,No,No,No,$0.00 
CMP479 ,CUSAT4559,Black Friday,Email,Mobile,5/23/2024,Yes,Yes,No,$0.00 
CMP507 ,CUSAT5520,Holiday Promo,Email,Tablet,11/26/2024,Yes,No,No,$0.00 
CMP441 ,CUSAT4990,Summer Sale,Email,Mobile,1/11/2024,No,No,No,$0.00 
CMP251 ,CUSAT1046,Holiday Promo,Email,Mobile,4/29/2024,Yes,No,No,$0.00 
CMP234 ,CUSAT1243,Holiday Promo,Email,Mobile,12/4/2024,Yes,No,No,$0.00 
CMP531 ,CUSAT9619,Summer Sale,Email,Desktop,1/27/2024,Yes,Yes,Yes,$586.10 
CMP326 ,CUSAT1710,New Product Launch,Email,Desktop,2/25/2024,Yes,No,No,$0.00 
CMP602 ,CUSAT8267,Summer Sale,Email,Desktop,8/6/2024,Yes,No,No,$0.00 
CMP661 ,CUSAT6327,Black Friday,Email,Desktop,11/15/2024,Yes,No,No,$0.00 
CMP770 ,CUSAT4522,Black Friday,Email,Mobile,12/25/2024,Yes,No,No,$0.00 
CMP420 ,CUSAT7992,Holiday Promo,Email,Desktop,7/31/2024,No,No,No,$0.00 
CMP198 ,CUSAT7105,Summer Sale,Email,Mobile,2/13/2024,Yes,Yes,Yes,"$1,161.10 "
CMP781 ,CUSAT7929,New Product Launch,Email,Desktop,7/29/2024,Yes,Yes,Yes,$39.30 
CMP772 ,CUSAT8900,Holiday Promo,Email,Desktop,9/16/2024,Yes,Yes,Yes,$834.80 
CMP539 ,CUSAT1430,New Product Launch,Email,Mobile,10/20/2024,Yes,Yes,Yes,"$1,476.20 "
CMP990 ,CUSAT3347,New Product Launch,Email,Mobile,6/28/2024,Yes,Yes,No,$0.00 
CMP564 ,CUSAT6585,Summer Sale,Email,Desktop,4/20/2024,Yes,Yes,Yes,$373.50 
CMP872 ,CUSAT1815,New Product Launch,Email,Desktop,1/27/2024,No,No,No,$0.00 
CMP320 ,CUSAT9394,Summer Sale,Email,Desktop,8/14/2024,Yes,Yes,No,$0.00 
CMP146 ,CUSAT4612,Black Friday,Email,Mobile,9/26/2024,Yes,No,No,$0.00 
CMP222 ,CUSAT1126,Black Friday,Email,Mobile,5/10/2024,No,No,No,$0.00 
CMP784 ,CUSAT6802,Summer Sale,Email,Tablet,9/13/2024,No,No,No,$0.00 
CMP689 ,CUSAT8033,New Product Launch,Email,Tablet,2/9/2024,Yes,Yes,No,$0.00 
CMP275 ,CUSAT8538,New Product Launch,Email,Mobile,1/11/2024,Yes,No,No,$0.00 
CMP180 ,CUSAT7484,Holiday Promo,Email,Mobile,10/28/2024,No,No,No,$0.00 
CMP622 ,CUSAT4176,Holiday Promo,Email,Tablet,11/20/2024,No,No,No,$0.00 
CMP716 ,CUSAT3504,New Product Launch,Email,Mobile,5/11/2024,No,No,No,$0.00 
CMP678 ,CUSAT6295,New Product Launch,Email,Mobile,8/17/2024,Yes,No,No,$0.00 
CMP381 ,CUSAT1920,Holiday Promo,Email,Desktop,11/19/2024,No,No,No,$0.00 
CMP178 ,CUSAT2479,New Product Launch,Email,Desktop,7/7/2024,Yes,No,No,$0.00 
CMP719 ,CUSAT8792,Black Friday,Email,Mobile,11/29/2024,Yes,Yes,Yes,"$1,122.90 "
CMP140 ,CUSAT5059,New Product Launch,Email,Desktop,9/15/2024,Yes,Yes,No,$0.00 
CMP389 ,CUSAT7347,Black Friday,Email,Tablet,7/5/2024,Yes,Yes,Yes,$673.90 
CMP495 ,CUSAT5655,Holiday Promo,Email,Desktop,2/18/2024,Yes,No,No,$0.00 
CMP815 ,CUSAT7421,Summer Sale,Email,Desktop,6/7/2024,No,No,No,$0.00 
CMP856 ,CUSAT9624,Summer Sale,Email,Mobile,12/9/2024,Yes,Yes,Yes,$105.20 
CMP449 ,CUSAT8967,Holiday Promo,Email,Mobile,4/2/2024,Yes,Yes,Yes,$71.80 
CMP955 ,CUSAT9626,Summer Sale,Email,Tablet,9/16/2024,Yes,No,No,$0.00 
CMP809 ,CUSAT3712,New Product Launch,Email,Mobile,3/24/2024,Yes,No,No,$0.00 
CMP866 ,CUSAT8355,Holiday Promo,Email,Desktop,11/8/2024,No,No,No,$0.00 
CMP388 ,CUSAT7256,Black Friday,Email,Mobile,8/13/2024,Yes,No,No,$0.00 
CMP995 ,CUSAT7081,Black Friday,Email,Tablet,1/27/2024,Yes,Yes,Yes,$328.00 
CMP625 ,CUSAT3414,Black Friday,Email,Mobile,3/23/2024,Yes,Yes,No,$0.00 
CMP482 ,CUSAT4862,Black Friday,Email,Desktop,1/28/2024,Yes,Yes,Yes,$717.30 
CMP910 ,CUSAT3392,Summer Sale,Email,Desktop,12/31/2024,No,No,No,$0.00 
CMP181 ,CUSAT1311,Holiday Promo,Email,Tablet,11/11/2024,Yes,Yes,No,$0.00 
CMP395 ,CUSAT4893,Holiday Promo,Email,Mobile,8/4/2024,No,No,No,$0.00 
CMP611 ,CUSAT9782,Summer Sale,Email,Tablet,2/2/2024,Yes,No,No,$0.00 
CMP684 ,CUSAT7825,Summer Sale,Email,Mobile,11/10/2024,Yes,Yes,Yes,$862.60 
CMP619 ,CUSAT1333,Black Friday,Email,Mobile,9/16/2024,Yes,Yes,Yes,$210.20 
CMP453 ,CUSAT4950,New Product Launch,Email,Tablet,7/1/2024,No,No,No,$0.00 
CMP758 ,CUSAT3868,New Product Launch,Email,Tablet,10/6/2024,No,No,No,$0.00 
CMP306 ,CUSAT1717,Holiday Promo,Email,Desktop,8/22/2024,No,No,No,$0.00 
CMP871 ,CUSAT4131,Holiday Promo,Email,Tablet,8/30/2024,Yes,Yes,Yes,$985.40 
CMP509 ,CUSAT8204,Black Friday,Email,Mobile,7/7/2024,No,No,No,$0.00 
CMP844 ,CUSAT7955,Summer Sale,Email,Mobile,5/16/2024,Yes,Yes,Yes,$928.80 
CMP776 ,CUSAT5843,Holiday Promo,Email,Mobile,2/22/2024,No,No,No,$0.00 
CMP990 ,CUSAT6776,New Product Launch,Email,Desktop,8/16/2024,Yes,No,No,$0.00 
CMP795 ,CUSAT3621,Summer Sale,Email,Tablet,9/19/2024,Yes,No,No,$0.00 
CMP475 ,CUSAT6933,Black Friday,Email,Mobile,4/30/2024,No,No,No,$0.00 
CMP687 ,CUSAT3255,Black Friday,Email,Desktop,8/15/2024,Yes,No,No,$0.00 
CMP611 ,CUSAT9482,Black Friday,Email,Desktop,1/14/2024,No,No,No,$0.00 
CMP602 ,CUSAT4279,Summer Sale,Email,Tablet,5/26/2024,No,No,No,$0.00 
CMP965 ,CUSAT6236,New Product Launch,Email,Tablet,2/14/2024,Yes,Yes,Yes,$710.70 
CMP828 ,CUSAT3852,Holiday Promo,Email,Mobile,6/2/2024,No,No,No,$0.00 
CMP686 ,CUSAT7044,Black Friday,Email,Mobile,1/14/2024,Yes,Yes,No,$0.00 
CMP887 ,CUSAT7708,New Product Launch,Email,Mobile,9/2/2024,Yes,No,No,$0.00 
CMP231 ,CUSAT3981,Summer Sale,Email,Mobile,12/14/2024,Yes,Yes,No,$0.00 
CMP430 ,CUSAT4694,Holiday Promo,Email,Tablet,6/4/2024,Yes,No,No,$0.00 
CMP410 ,CUSAT9740,Summer Sale,Email,Mobile,5/20/2024,No,No,No,$0.00 
CMP677 ,CUSAT1674,Summer Sale,Email,Mobile,6/21/2024,No,No,No,$0.00 
CMP609 ,CUSAT9938,Holiday Promo,Email,Desktop,11/12/2024,No,No,No,$0.00 
CMP261 ,CUSAT8202,Black Friday,Email,Desktop,2/7/2024,Yes,Yes,No,$0.00 
CMP426 ,CUSAT6658,Black Friday,Email,Tablet,6/9/2024,Yes,Yes,Yes,$510.60 
CMP225 ,CUSAT5382,Black Friday,Email,Mobile,6/12/2024,Yes,Yes,No,$0.00 
CMP986 ,CUSAT3616,Holiday Promo,Email,Mobile,11/11/2024,No,No,No,$0.00 
CMP609 ,CUSAT1379,Summer Sale,Email,Mobile,9/12/2024,No,No,No,$0.00 
CMP388 ,CUSAT9108,New Product Launch,Email,Desktop,6/29/2024,Yes,Yes,No,$0.00 
CMP844 ,CUSAT6992,Black Friday,Email,Mobile,3/9/2024,Yes,No,No,$0.00 
CMP395 ,CUSAT2204,Black Friday,Email,Tablet,4/9/2024,Yes,No,No,$0.00 
CMP199 ,CUSAT7453,Holiday Promo,Email,Mobile,3/1/2024,No,No,No,$0.00 
CMP141 ,CUSAT1742,Summer Sale,Email,Tablet,9/17/2024,No,No,No,$0.00 
CMP627 ,CUSAT3290,Holiday Promo,Email,Mobile,3/17/2024,Yes,Yes,Yes,$101.70 
CMP621 ,CUSAT9721,Black Friday,Email,Desktop,6/21/2024,Yes,Yes,Yes,$669.30 
CMP915 ,CUSAT1436,New Product Launch,Email,Desktop,8/1/2024,Yes,Yes,No,$0.00 
CMP838 ,CUSAT7229,Summer Sale,Email,Mobile,3/28/2024,No,No,No,$0.00 
CMP522 ,CUSAT4340,Black Friday,Email,Tablet,6/9/2024,No,No,No,$0.00 
CMP778 ,CUSAT8837,Black Friday,Email,Desktop,10/14/2024,No,No,No,$0.00 
CMP890 ,CUSAT5331,New Product Launch,Email,Mobile,10/6/2024,Yes,Yes,Yes,$142.80 
CMP404 ,CUSAT5735,New Product Launch,Email,Tablet,4/25/2024,Yes,No,No,$0.00 
CMP914 ,CUSAT5480,Holiday Promo,Email,Mobile,10/13/2024,No,No,No,$0.00 
CMP394 ,CUSAT2294,Holiday Promo,Email,Tablet,3/15/2024,No,No,No,$0.00 
CMP675 ,CUSAT5450,Summer Sale,Email,Mobile,10/2/2024,No,No,No,$0.00 
CMP153 ,CUSAT2641,Black Friday,Email,Tablet,4/25/2024,Yes,Yes,Yes,$49.00 
CMP261 ,CUSAT7666,New Product Launch,Email,Desktop,10/8/2024,Yes,Yes,Yes,$224.90 
CMP887 ,CUSAT2465,New Product Launch,Email,Mobile,11/26/2024,No,No,No,$0.00 
CMP506 ,CUSAT9116,Summer Sale,Email,Mobile,1/19/2024,Yes,Yes,Yes,$805.50 
CMP443 ,CUSAT5662,Black Friday,Email,Mobile,2/24/2024,No,No,No,$0.00 
CMP848 ,CUSAT8518,New Product Launch,Email,Tablet,2/27/2024,Yes,Yes,Yes,"$2,141.10 "
CMP297 ,CUSAT3875,New Product Launch,Email,Tablet,10/17/2024,Yes,Yes,Yes,$828.40 
CMP289 ,CUSAT3303,Black Friday,Email,Mobile,7/24/2024,Yes,No,No,$0.00 
CMP437 ,CUSAT5947,New Product Launch,Email,Desktop,8/16/2024,No,No,No,$0.00 
CMP515 ,CUSAT9233,New Product Launch,Email,Tablet,8/26/2024,Yes,Yes,Yes,$860.60 
CMP236 ,CUSAT8834,Summer Sale,Email,Tablet,4/23/2024,No,No,No,$0.00 
CMP945 ,CUSAT4578,Holiday Promo,Email,Mobile,10/2/2024,Yes,Yes,Yes,$903.60 
CMP948 ,CUSAT9972,Black Friday,Email,Mobile,10/15/2024,No,No,No,$0.00 
CMP796 ,CUSAT4365,New Product Launch,Email,Mobile,9/23/2024,No,No,No,$0.00 
CMP567 ,CUSAT1945,Black Friday,Email,Tablet,3/8/2024,Yes,No,No,$0.00 
CMP692 ,CUSAT2196,Summer Sale,Email,Desktop,1/2/2024,Yes,Yes,Yes,$632.80 
CMP518 ,CUSAT3948,Summer Sale,Email,Desktop,8/29/2024,No,No,No,$0.00 
CMP777 ,CUSAT9835,Summer Sale,Email,Mobile,2/11/2024,Yes,No,No,$0.00 
CMP328 ,CUSAT1056,Summer Sale,Email,Desktop,3/6/2024,No,No,No,$0.00 
CMP454 ,CUSAT3541,Holiday Promo,Email,Tablet,4/27/2024,Yes,No,No,$0.00 
CMP168 ,CUSAT2653,New Product Launch,Email,Desktop,1/9/2024,No,No,No,$0.00 
CMP322 ,CUSAT1924,Summer Sale,Email,Mobile,8/12/2024,Yes,Yes,Yes,"$1,035.60 "
CMP246 ,CUSAT9540,Holiday Promo,Email,Desktop,5/1/2024,Yes,Yes,Yes,$625.70 
CMP537 ,CUSAT9120,Summer Sale,Email,Tablet,3/30/2024,Yes,Yes,No,$0.00 
CMP485 ,CUSAT4012,Black Friday,Email,Mobile,7/28/2024,Yes,No,No,$0.00 
CMP526 ,CUSAT9683,Summer Sale,Email,Mobile,1/30/2024,Yes,Yes,Yes,$871.90 
CMP194 ,CUSAT9775,New Product Launch,Email,Mobile,8/18/2024,No,No,No,$0.00 
CMP292 ,CUSAT4555,Black Friday,Email,Tablet,1/21/2024,Yes,Yes,No,$0.00 
CMP220 ,CUSAT8846,Holiday Promo,Email,Desktop,4/7/2024,Yes,Yes,Yes,$618.30 
CMP764 ,CUSAT6886,Holiday Promo,Email,Desktop,7/13/2024,No,No,No,$0.00 
CMP427 ,CUSAT4328,Holiday Promo,Email,Desktop,8/28/2024,Yes,No,No,$0.00 
CMP698 ,CUSAT7841,Holiday Promo,Email,Mobile,1/9/2024,No,No,No,$0.00 
CMP770 ,CUSAT6530,Holiday Promo,Email,Tablet,5/5/2024,No,No,No,$0.00 
CMP659 ,CUSAT9000,Summer Sale,Email,Mobile,3/27/2024,Yes,Yes,Yes,$674.60 
CMP745 ,CUSAT4791,Summer Sale,Email,Mobile,7/30/2024,Yes,No,No,$0.00 
CMP782 ,CUSAT8916,New Product Launch,Email,Mobile,1/31/2024,Yes,Yes,No,$0.00 
CMP839 ,CUSAT5501,Black Friday,Email,Mobile,1/7/2024,No,No,No,$0.00 
CMP346 ,CUSAT4144,New Product Launch,Email,Tablet,2/19/2024,Yes,No,No,$0.00 
CMP570 ,CUSAT4984,New Product Launch,Email,Desktop,7/10/2024,Yes,Yes,No,$0.00 
CMP587 ,CUSAT1919,New Product Launch,Email,Tablet,7/13/2024,Yes,No,No,$0.00 
CMP679 ,CUSAT2562,Black Friday,Email,Mobile,11/26/2024,Yes,Yes,Yes,$119.90 
CMP800 ,CUSAT5593,Black Friday,Email,Mobile,1/24/2024,Yes,No,No,$0.00 
CMP829 ,CUSAT7525,Summer Sale,Email,Mobile,3/14/2024,Yes,No,No,$0.00 
CMP857 ,CUSAT3292,New Product Launch,Email,Mobile,6/18/2024,Yes,Yes,No,$0.00 
CMP448 ,CUSAT7499,Holiday Promo,Email,Tablet,4/28/2024,No,No,No,$0.00 
CMP484 ,CUSAT8075,Summer Sale,Email,Mobile,7/1/2024,Yes,Yes,Yes,$762.00 
CMP828 ,CUSAT3527,New Product Launch,Email,Desktop,5/17/2024,Yes,Yes,Yes,$95.70 
CMP879 ,CUSAT5419,Summer Sale,Email,Mobile,6/6/2024,No,No,No,$0.00 
CMP205 ,CUSAT1430,Summer Sale,Email,Mobile,10/11/2024,Yes,Yes,Yes,"$1,448.90 "
CMP523 ,CUSAT7353,Summer Sale,Email,Mobile,7/16/2024,No,No,No,$0.00 
CMP374 ,CUSAT9079,Summer Sale,Email,Mobile,3/12/2024,No,No,No,$0.00 
CMP469 ,CUSAT5123,Holiday Promo,Email,Mobile,9/4/2024,No,No,No,$0.00 
CMP505 ,CUSAT6443,New Product Launch,Email,Tablet,6/4/2024,No,No,No,$0.00 
CMP239 ,CUSAT5922,Holiday Promo,Email,Desktop,11/29/2024,No,No,No,$0.00 
CMP748 ,CUSAT9044,New Product Launch,Email,Desktop,5/29/2024,Yes,Yes,Yes,$777.60 
CMP304 ,CUSAT9939,Summer Sale,Email,Tablet,2/28/2024,Yes,Yes,Yes,$909.90 
CMP968 ,CUSAT7703,New Product Launch,Email,Mobile,12/20/2024,No,No,No,$0.00 
CMP175 ,CUSAT8357,New Product Launch,Email,Mobile,8/4/2024,No,No,No,$0.00 
CMP468 ,CUSAT9796,New Product Launch,Email,Mobile,10/5/2024,Yes,No,No,$0.00 
CMP760 ,CUSAT7547,Holiday Promo,Email,Mobile,1/23/2024,Yes,Yes,No,$0.00 
CMP671 ,CUSAT4621,Black Friday,Email,Desktop,9/18/2024,Yes,Yes,No,$0.00 
CMP594 ,CUSAT2712,Holiday Promo,Email,Mobile,6/25/2024,No,No,No,$0.00 
CMP311 ,CUSAT9537,Black Friday,Email,Desktop,6/24/2024,No,No,No,$0.00 
CMP929 ,CUSAT2885,Summer Sale,Email,Tablet,2/4/2024,No,No,No,$0.00 
CMP438 ,CUSAT7985,Black Friday,Email,Tablet,3/30/2024,No,No,No,$0.00 
