campaign_id,customer_id,campaign_name,channel,device_type,send_date,opened,clicked,converted,revenue_usd
CMP109 ,CUST8622,holiday promo ,email,Mobile,8/23/2024, yes,,yes ,101.23
CMP806 ,CUST5097,Black friday,EMAIL ,mobile ,11/23/2024,no ,Yes,No,6.77
CMP688 ,CUST5847, new product launch ,EMAIL ,Mobile,7/14/2024, yes,Yes,,86.35
CMP150 ,CUST9138,holiday promo ,email,Moble,12/17/2024,No,No,,92.58
CMP838 ,CUST3240,New product launch,Email,Tablet,5/8/2024, yes,no,Yes,55.82
CMP234 ,CUST2476,holiday promo ,EMAIL ,Tablet,10/23/2024,No,No,No,107.1
CMP474 ,CUST9697, black friday,EMAIL ,tablet ,10/3/2024, yes,no,yes ,152.32
CMP579 ,CUST2233,SUMMER SALE,email,tablet ,6/22/2024,, yes ,Yes,270.89
CMP649 ,CUST3024,Black friday,EMAIL ,Tablet,7/21/2024,,no,yes ,
CMP582 ,CUST1410,New Product Launch,EMAIL ,Moble,2/25/2024,Yes,no,yes ,140.6
CMP243 ,CUST1742,Summer Sale,EMAIL ,desktop,11/28/2024,Yes,No,,114.04
CMP479 ,CUST9850,Black Friday,email,desktop,3/10/2024,no ,, no,0
CMP479 ,CUST4559,Black friday, Email,mobile ,5/23/2024,Yes, yes ,,
CMP507 ,CUST5520,Holiday Promo,Email,tablet ,11/26/2024,Yes,No,,124.82
CMP441 ,CUST4990,SUMMER SALE,email,Mobile,1/11/2024,No,,No,317.06
CMP251 ,CUST1046,holiday promo ,email,mobile ,4/29/2024, yes,No,Yes,104.61
CMP234 ,CUST1243,Holiday  Promo,email,Moble,12/4/2024,Yes,No,yes ,144.12
CMP531 ,CUST9619, summer sale,Email,desktop,1/27/2024, yes,,,117.22
CMP326 ,CUST1710, new product launch ,EMAIL ,desktop,2/25/2024,Yes,no, no,26.51
CMP602 ,CUST8267, summer sale,Email,Desktop,8/6/2024,Yes,No,yes ,211.43
CMP661 ,CUST6327,Black Friday,EMAIL ,desktop,11/15/2024,,no,Yes,180.15
CMP770 ,CUST4522,Black Friday, Email,mobile ,12/25/2024, yes,no, no,183.28
CMP420 ,CUST7992,Holiday  Promo,EMAIL ,Desktop,7/31/2024,no ,Yes,Yes,47.25
CMP198 ,CUST7105,SUMMER SALE,Email,Moble,2/13/2024,, yes ,Yes,232.22
CMP781 ,CUST7929, new product launch ,Email,Desktop,7/29/2024, yes,Yes,,7.85
CMP772 ,CUST8900,Holiday Promo,Email,Desktop,9/16/2024, yes,Yes,yes ,166.95
CMP539 ,CUST1430,New Product Launch,EMAIL ,Mobile,10/20/2024, yes, yes ,yes ,295.24
CMP990 ,CUST3347,New Product Launch, Email,Mobile,6/28/2024,Yes,Yes,,
CMP564 ,CUST6585,SUMMER SALE,EMAIL ,Desktop,4/20/2024,,,Yes,74.7
CMP872 ,CUST1815,New product launch,Email,Desktop,1/27/2024,no ,no,,127.97
CMP320 ,CUST9394, summer sale,EMAIL ,desktop,8/14/2024, yes,, no,79.72
CMP146 ,CUST4612,Black Friday,Email,Mobile,9/26/2024, yes,No,No,0
CMP222 ,CUST1126,Black friday, Email,mobile ,5/10/2024,no ,,No,125.49
CMP784 ,CUST6802, summer sale, Email,tablet ,9/13/2024,no ,Yes, no,35.02
CMP689 ,CUST8033,New Product Launch, Email,Tablet,2/9/2024, yes,Yes, no,157.89
CMP275 ,CUST8538, new product launch ,EMAIL ,Mobile,1/11/2024,Yes,No, no,46.45
CMP180 ,CUST7484,holiday promo ,EMAIL ,mobile ,10/28/2024,No,Yes,,243.99
CMP622 ,CUST4176,Holiday  Promo,EMAIL ,Tablet,11/20/2024,No,Yes,No,57.34
CMP716 ,CUST3504,New product launch,Email,mobile ,5/11/2024,no ,,,94.24
CMP678 ,CUST6295,New product launch,EMAIL ,mobile ,8/17/2024,Yes,no, no,185.08
CMP381 ,CUST1920,Holiday  Promo,Email,Desktop,11/19/2024,no ,Yes,Yes,21.53
CMP178 ,CUST2479,New Product Launch, Email,desktop,7/7/2024,Yes,no,,138.2
CMP719 ,CUST8792, black friday,email,Mobile,11/29/2024,Yes, yes ,Yes,224.57
CMP140 ,CUST5059, new product launch , Email,desktop,9/15/2024,,,No,0
CMP389 ,CUST7347,Black Friday,EMAIL ,Tablet,7/5/2024, yes,Yes,yes ,134.77
CMP495 ,CUST5655,holiday promo ,email,Desktop,2/18/2024,,No,yes ,140.79
CMP815 ,CUST7421,SUMMER SALE,Email,Desktop,6/7/2024,no , yes ,No,182.55
CMP856 ,CUST9624, summer sale, Email,Moble,12/9/2024,Yes, yes ,yes ,21.04
CMP449 ,CUST8967,Holiday Promo,email,mobile ,4/2/2024,Yes, yes ,Yes,14.36
CMP955 ,CUST9626,Summer Sale,EMAIL ,tablet ,9/16/2024,,no,No,161.76
CMP809 ,CUST3712, new product launch , Email,Mobile,3/24/2024, yes,No, no,143.76
CMP866 ,CUST8355,Holiday Promo,email,Desktop,11/8/2024,No, yes ,,140.04
CMP388 ,CUST7256, black friday, Email,mobile ,8/13/2024,,No,yes ,147.72
CMP995 ,CUST7081, black friday,Email,Tablet,1/27/2024,Yes, yes ,Yes,65.6
CMP625 ,CUST3414,Black Friday,Email,mobile ,3/23/2024, yes,Yes, no,138.58
CMP482 ,CUST4862,Black Friday,Email,Desktop,1/28/2024,Yes, yes ,Yes,143.45
CMP910 ,CUST3392,SUMMER SALE,Email,Desktop,12/31/2024,No,no, no,62.85
CMP181 ,CUST1311,holiday promo ,email,tablet ,11/11/2024,,,,
CMP395 ,CUST4893,holiday promo ,Email,Mobile,8/4/2024,no ,, no,157.91
CMP611 ,CUST9782,Summer Sale,email,Tablet,2/2/2024, yes,no,Yes,24.7
CMP684 ,CUST7825,SUMMER SALE,Email,Moble,11/10/2024,Yes,,,172.52
CMP619 ,CUST1333,Black Friday, Email,Mobile,9/16/2024, yes, yes ,Yes,42.03
CMP453 ,CUST4950, new product launch ,Email,tablet ,7/1/2024,No,Yes,yes ,182.97
CMP758 ,CUST3868,New product launch, Email,Tablet,10/6/2024,No,No,Yes,212.69
CMP306 ,CUST1717,Holiday Promo,Email,Desktop,8/22/2024,,no,,
CMP871 ,CUST4131,holiday promo ,EMAIL ,tablet ,8/30/2024, yes, yes ,Yes,197.07
CMP509 ,CUST8204,Black Friday,EMAIL ,mobile ,7/7/2024,no , yes ,,153.02
CMP844 ,CUST7955, summer sale, Email,Moble,5/16/2024,, yes ,yes ,185.76
CMP776 ,CUST5843,holiday promo , Email,Moble,2/22/2024,No,no,yes ,271.74
CMP990 ,CUST6776,New Product Launch, Email,Desktop,8/16/2024,Yes,no,yes ,
CMP795 ,CUST3621,Summer Sale,email,tablet ,9/19/2024,Yes,No,Yes,59.7
CMP475 ,CUST6933,Black Friday,Email,Moble,4/30/2024,no , yes ,yes ,48.84
CMP687 ,CUST3255, black friday,EMAIL ,desktop,8/15/2024, yes,No,Yes,54.74
CMP611 ,CUST9482,Black Friday,Email,Desktop,1/14/2024,no ,No,,113.83
CMP602 ,CUST4279, summer sale,email,tablet ,5/26/2024,no ,No, no,147.29
CMP965 ,CUST6236,New product launch,EMAIL ,Tablet,2/14/2024,,,yes ,142.14
CMP828 ,CUST3852,Holiday  Promo,email,Mobile,6/2/2024,No,No, no,186.17
CMP686 ,CUST7044,Black friday,email,Moble,1/14/2024,Yes, yes , no,121.04
CMP887 ,CUST7708,New Product Launch,Email,mobile ,9/2/2024,Yes,no, no,236.28
CMP231 ,CUST3981,SUMMER SALE, Email,Moble,12/14/2024,Yes,,No,98.83
CMP430 ,CUST4694,Holiday  Promo,EMAIL ,tablet ,6/4/2024, yes,No,,337.61
CMP410 ,CUST9740, summer sale,email,Moble,5/20/2024,No,,,170.05
CMP677 ,CUST1674,Summer Sale,Email,Mobile,6/21/2024,No,, no,51.43
CMP609 ,CUST9938,holiday promo ,EMAIL ,desktop,11/12/2024,no , yes , no,34.33
CMP261 ,CUST8202,Black Friday, Email,desktop,2/7/2024, yes,,No,158.6
CMP426 ,CUST6658,Black Friday,email,tablet ,6/9/2024,,,Yes,102.12
CMP225 ,CUST5382,Black friday,email,mobile ,6/12/2024,Yes, yes , no,177.12
CMP986 ,CUST3616,Holiday  Promo,EMAIL ,mobile ,11/11/2024,no ,, no,157.86
CMP609 ,CUST1379, summer sale, Email,Moble,9/12/2024,No,No,,114.17
CMP388 ,CUST9108,New Product Launch, Email,Desktop,6/29/2024,Yes,Yes, no,
CMP844 ,CUST6992,Black Friday,EMAIL ,Mobile,3/9/2024,Yes,,,0
CMP395 ,CUST2204,Black Friday, Email,tablet ,4/9/2024, yes,,,84.28
CMP199 ,CUST7453,Holiday  Promo,EMAIL ,Moble,3/1/2024,No,No,,188.51
CMP141 ,CUST1742,Summer Sale,email,Tablet,9/17/2024,no ,, no,137.13
CMP627 ,CUST3290,Holiday  Promo,EMAIL ,mobile ,3/17/2024,, yes ,,20.34
CMP621 ,CUST9721,Black friday,EMAIL ,desktop,6/21/2024, yes, yes ,Yes,133.85
CMP915 ,CUST1436,New Product Launch, Email,Desktop,8/1/2024,Yes,, no,150.83
CMP838 ,CUST7229,SUMMER SALE,email,Mobile,3/28/2024,No,Yes, no,49.29
CMP522 ,CUST4340,Black Friday, Email,tablet ,6/9/2024,No,,No,132.3
CMP778 ,CUST8837, black friday, Email,Desktop,10/14/2024,no ,,yes ,124.66
CMP890 ,CUST5331,New Product Launch, Email,mobile ,10/6/2024, yes,,yes ,28.56
CMP404 ,CUST5735, new product launch ,email,Tablet,4/25/2024, yes,no,yes ,148.62
CMP914 ,CUST5480,holiday promo ,Email,Moble,10/13/2024,no ,no,yes ,164.86
CMP394 ,CUST2294,Holiday  Promo, Email,Tablet,3/15/2024,no ,No,No,206.64
CMP675 ,CUST5450,SUMMER SALE,Email,Moble,10/2/2024,No,Yes,,204.3
CMP153 ,CUST2641,Black Friday,EMAIL ,Tablet,4/25/2024,Yes,No,Yes,9.79
CMP261 ,CUST7666,New product launch, Email,desktop,10/8/2024, yes, yes ,yes ,44.97
CMP887 ,CUST2465,New product launch,email,Moble,11/26/2024,No,no,No,161.2
CMP506 ,CUST9116,SUMMER SALE,EMAIL ,Mobile,1/19/2024, yes,,,161.1
CMP443 ,CUST5662,Black friday, Email,mobile ,2/24/2024,no , yes ,No,161.2
CMP848 ,CUST8518,New product launch,EMAIL ,Tablet,2/27/2024,Yes, yes ,yes ,428.22
CMP297 ,CUST3875,New Product Launch, Email,tablet ,10/17/2024,, yes ,Yes,165.67
CMP289 ,CUST3303,Black friday,EMAIL ,mobile ,7/24/2024, yes,no,No,210.85
CMP437 ,CUST5947,New Product Launch,Email,Desktop,8/16/2024,No,Yes,Yes,196.32
CMP515 ,CUST9233, new product launch ,EMAIL ,Tablet,8/26/2024, yes, yes ,,172.11
CMP236 ,CUST8834,SUMMER SALE, Email,Tablet,4/23/2024,no ,, no,94.78
CMP945 ,CUST4578,Holiday Promo,Email,Moble,10/2/2024,, yes ,Yes,180.72
CMP948 ,CUST9972, black friday,email,Moble,10/15/2024,No,No,yes ,58.17
CMP796 ,CUST4365, new product launch , Email,Mobile,9/23/2024,no ,Yes, no,101.05
CMP567 ,CUST1945, black friday, Email,Tablet,3/8/2024,Yes,no,yes ,81.17
CMP692 ,CUST2196,Summer Sale, Email,Desktop,1/2/2024,,Yes,Yes,126.55
CMP518 ,CUST3948,SUMMER SALE, Email,Desktop,8/29/2024,no ,no, no,
CMP777 ,CUST9835,SUMMER SALE,EMAIL ,Mobile,2/11/2024,,no,,0
CMP328 ,CUST1056,Summer Sale,EMAIL ,desktop,3/6/2024,no ,, no,174.9
CMP454 ,CUST3541,holiday promo ,email,Tablet,4/27/2024,Yes,no,,0
CMP168 ,CUST2653,New Product Launch,Email,desktop,1/9/2024,No,Yes, no,82.25
CMP322 ,CUST1924,SUMMER SALE,EMAIL ,mobile ,8/12/2024,,,yes ,207.12
CMP246 ,CUST9540,Holiday Promo, Email,Desktop,5/1/2024,Yes,,,125.14
CMP537 ,CUST9120,Summer Sale,EMAIL ,Tablet,3/30/2024,, yes , no,33.78
CMP485 ,CUST4012, black friday, Email,mobile ,7/28/2024, yes,No, no,62.78
CMP526 ,CUST9683,SUMMER SALE, Email,mobile ,1/30/2024,No, yes ,Yes,174.37
CMP194 ,CUST9775, new product launch ,email,Mobile,8/18/2024,no ,,,61.57
CMP292 ,CUST4555,Black friday,email,tablet ,1/21/2024, yes,Yes,No,137.32
CMP220 ,CUST8846,Holiday Promo,email,desktop,4/7/2024,, yes ,yes ,123.65
CMP764 ,CUST6886,holiday promo ,EMAIL ,Desktop,7/13/2024,no ,no,Yes,67.87
CMP427 ,CUST4328,Holiday  Promo,EMAIL ,desktop,8/28/2024,,No,No,291.52
CMP698 ,CUST7841,holiday promo ,email,mobile ,1/9/2024,No,no,,170.71
CMP770 ,CUST6530,holiday promo , Email,Tablet,5/5/2024,no ,No,yes ,0
CMP659 ,CUST9000,SUMMER SALE,Email,Moble,3/27/2024,Yes,Yes,Yes,134.92
CMP745 ,CUST4791, summer sale,email,Mobile,7/30/2024,,no,yes ,67.06
CMP782 ,CUST8916,New product launch, Email,Mobile,1/31/2024,,, no,188.19
CMP839 ,CUST5501, black friday,EMAIL ,Mobile,1/7/2024,no ,No,Yes,
CMP346 ,CUST4144,New Product Launch,EMAIL ,tablet ,2/19/2024, yes,no,Yes,110.82
CMP570 ,CUST4984, new product launch ,email,Desktop,7/10/2024,Yes,Yes, no,160.4
CMP587 ,CUST1919,New product launch,Email,Tablet,7/13/2024,Yes,no, no,189.26
CMP679 ,CUST2562, black friday,Email,mobile ,11/26/2024,,no,yes ,23.98
CMP800 ,CUST5593, black friday,Email,mobile ,1/24/2024,Yes,No,,93.24
CMP829 ,CUST7525, summer sale,EMAIL ,mobile ,3/14/2024,,no,,82
CMP857 ,CUST3292, new product launch ,Email,Moble,6/18/2024,Yes,Yes, no,67.73
CMP448 ,CUST7499,Holiday  Promo,Email,Tablet,4/28/2024,no ,no,No,261.24
CMP484 ,CUST8075,SUMMER SALE, Email,Mobile,7/1/2024,No,Yes,Yes,152.4
CMP828 ,CUST3527, new product launch , Email,Desktop,5/17/2024,Yes,Yes,Yes,19.13
CMP879 ,CUST5419, summer sale,email,Mobile,6/6/2024,no ,no,,193.43
CMP205 ,CUST1430, summer sale,EMAIL ,Moble,10/11/2024,,,yes ,289.77
CMP523 ,CUST7353, summer sale,email,Moble,7/16/2024,No,no,No,
CMP374 ,CUST9079,SUMMER SALE,Email,mobile ,3/12/2024, yes,no,yes ,0
CMP469 ,CUST5123,Holiday Promo, Email,Moble,9/4/2024,no ,Yes,No,81.26
CMP505 ,CUST6443,New Product Launch, Email,tablet ,6/4/2024,no , yes , no,
CMP239 ,CUST5922,Holiday  Promo,email,desktop,11/29/2024,No,no,yes ,63.39
CMP748 ,CUST9044,New Product Launch,email,Desktop,5/29/2024, yes,no,yes ,155.51
CMP304 ,CUST9939,SUMMER SALE,Email,Tablet,2/28/2024,No,no,yes ,181.97
CMP968 ,CUST7703,New product launch, Email,mobile ,12/20/2024,No, yes ,No,45.85
CMP175 ,CUST8357,New Product Launch, Email,Moble,8/4/2024,,, no,115.24
CMP468 ,CUST9796,New Product Launch,Email,Mobile,10/5/2024, yes,No,,
CMP760 ,CUST7547,Holiday  Promo, Email,Mobile,1/23/2024,Yes, yes ,No,38.05
CMP671 ,CUST4621,Black friday,EMAIL ,desktop,9/18/2024,,,No,99.79
CMP594 ,CUST2712,holiday promo , Email,Mobile,6/25/2024,No, yes ,yes ,20.18
CMP311 ,CUST9537,Black friday,EMAIL ,desktop,6/24/2024,no ,no,yes ,250.59
CMP929 ,CUST2885,Summer Sale,EMAIL ,Tablet,2/4/2024,No,No,,5.59
CMP438 ,CUST7985,Black friday,email,tablet ,3/30/2024,No,No, no,84.8
CMP728 ,CUST4232,Black friday, Email,desktop,7/21/2024,No,No,yes ,
CMP164 ,CUST2667, black friday,email,Desktop,12/26/2024,No,no,Yes,235.3
CMP601 ,CUST9646,New product launch,EMAIL ,Moble,5/14/2024,,no,,5.13
CMP965 ,CUST8501,New Product Launch,email,tablet ,2/28/2024,,,Yes,213.05
CMP220 ,CUST4908,holiday promo ,Email,mobile ,12/10/2024,No,, no,120.82
CMP688 ,CUST7286,Black Friday,email,desktop,8/2/2024,No,,No,41.48
CMP291 ,CUST6154,Black friday,Email,tablet ,9/7/2024,Yes,no,No,156.97
CMP675 ,CUST9281,New product launch, Email,desktop,4/9/2024,no ,no, no,135.92
CMP131 ,CUST4613,holiday promo ,Email,Desktop,3/26/2024,, yes ,No,71.98
CMP891 ,CUST9115, black friday,Email,Moble,8/22/2024, yes,,yes ,125.58
CMP142 ,CUST8231, black friday,email,desktop,10/4/2024,No, yes ,Yes,89.17
CMP982 ,CUST2425,Black friday,Email,tablet ,8/18/2024,No,,yes ,129.08
CMP538 ,CUST3719,New Product Launch,email,tablet ,12/29/2024,No,Yes,,172.97
CMP711 ,CUST9827,SUMMER SALE,EMAIL ,Tablet,6/28/2024, yes,,yes ,246.88
CMP795 ,CUST2560,SUMMER SALE, Email,Mobile,9/20/2024,No,No,No,20.97
CMP948 ,CUST5055,New product launch, Email,desktop,3/15/2024,, yes , no,290.64
CMP748 ,CUST2525,Black Friday,EMAIL ,Tablet,7/11/2024,no ,no,yes ,0
CMP892 ,CUST2526, new product launch , Email,Tablet,10/24/2024,Yes,, no,
CMP944 ,CUST4470,Black friday,EMAIL ,Desktop,4/21/2024, yes,,,167.07
CMP596 ,CUST6631,New product launch,Email,Mobile,3/7/2024,no ,Yes,Yes,142.48
CMP100 ,CUST8009,Holiday Promo,email,Tablet,3/21/2024,No, yes ,Yes,70.18
CMP184 ,CUST7092,New product launch,email,Mobile,12/1/2024, yes,No, no,103.35
CMP197 ,CUST1017,Holiday Promo, Email,Mobile,12/1/2024,,No,,80.56
CMP108 ,CUST6629, summer sale, Email,Tablet,12/14/2024,no ,Yes,No,72.85
CMP925 ,CUST2678, summer sale,EMAIL ,Desktop,7/15/2024,No,no,No,187.97
CMP246 ,CUST2120, black friday,Email,Moble,11/24/2024,no , yes ,No,148.56
CMP521 ,CUST8248,Holiday Promo,Email,Mobile,11/17/2024,Yes,, no,64.57
CMP422 ,CUST3290,Holiday Promo,EMAIL ,Tablet,6/28/2024,No,,,191.97
CMP391 ,CUST1439,New product launch,EMAIL ,mobile ,11/3/2024,,,No,144.58
CMP155 ,CUST4921,Black friday, Email,Mobile,7/19/2024,no ,,Yes,185.03
